Date;Price (Open);Price (High);Price (Low);Price (Close);Real Volume;Circulating Marketcap;Circulating Supply;New Issuance;Active Addresses Count;Addresses with balance > $10M;Volatility;Addresses Count;Transaction Volume;Transactions Count
2019-06-29;0.0881;0.0907;0.0832;0.0896;41560000.0;2260000000.0;25927070538;;8327;14;0.94;335137;292000000.0;2883
2019-06-30;0.0898;0.0906;0.0811;0.0815;36920000.0;2230000000.0;25927070538;;7689;14;0.96;33547;193000000.0;28
2019-07-01;0.0816;0.0855;0.0800;0.0833;42000000.0;2140000000.0000002;25927070538;;9103;15;0.94;334653;292000000.0;3006
2019-07-02;0.0833;0.0840;0.0762;0.0805;47920000.0;2069999999.9999998;25927070538;;7877;15;0.94;334854;266000000.0;2797
2019-07-03;0.0809;0.0834;0.0794;0.0825;36650000.0;2109999999.9999998;25927070538;;9144;15;0.91;33517;518000000.0;3165
2019-07-04;0.0826;0.0827;0.0772;0.0775;30670000.0;2069999999.9999998;25927070538;;8324;14;0.88;335579;602000000.0;2978
2019-07-05;0.0774;0.0781;0.0757;0.0764;29190000.0;2000000000.0;25927070538;;7255;14;0.87;335666;295000000.0;296
2019-07-06;0.0765;0.0810;0.0764;0.0775;28090000.0;2020000000.0;25927070538;;6766;14;0.87;336058;295000000.0;256
2019-07-07;0.0773;0.0805;0.0766;0.0802;14940000.0;2029999999.9999998;25927070538;;6184;16;0.88;336411;472000000.0;2702
2019-07-08;0.0801;0.0828;0.0791;0.0804;28660000.0;2089999999.9999998;25927070538;;7284;16;0.87;336777;289000000.0;3486
2019-07-09;0.0804;0.0810;0.0767;0.0780;26780000.0;2049999999.9999998;25927070538;;7849;15;0.87;336898;454000000.0;3409
2019-07-10;0.0779;0.0786;0.0694;0.0717;33800000.0;1930000000.0;25927070538;;8515;15;0.89;33702;417000000.0;3751
2019-07-11;0.0717;0.0717;0.0623;0.0651;32360000.0;1710000000.0;25927070538;;9332;13;0.89;337087;173000000.0;3469
2019-07-12;0.0651;0.0708;0.0633;0.0696;23280000.0;1760000000.0;25927070538;;7845;14;0.92;337391;153000000.0;2945
2019-07-13;0.0696;0.0712;0.0643;0.0668;29370000.0;1760000000.0;25927070538;;6766;15;0.85;337487;392000000.0;2588
2019-07-14;0.0669;0.0671;0.0589;0.0592;23250000.0;1640000000.0;25927070538;;6486;14;0.9;337816;147000000.0;2394
2019-07-15;0.0592;0.0602;0.0548;0.0591;25480000.0;1500000000.0;25927070538;;8547;14;0.89;33793;215000000.0;3062
2019-07-16;0.0591;0.0609;0.0499;0.0519;25680000.0;1450000000.0;25927070538;;8535;12;0.96;337975;190000000.0;3054
2019-07-17;0.0518;0.0580;0.0500;0.0551;26580000.0;1400000000.0;25927070538;;8307;12;1;338211;122000000.0;3081
2019-07-18;0.0552;0.0595;0.0532;0.0585;20700000.0;1480000000.0;25927070538;;7055;13;1.03;338468;107000000.0;2599
2019-07-19;0.0585;0.0608;0.0559;0.0597;15140000.0;1500000000.0;25927070538;;6132;14;1.03;338775;99910000.0;239
2019-07-20;0.0598;0.0652;0.0594;0.0626;21430000.0;1620000000.0;25927070538;;6369;15;1.05;339116;98250000.0;2437
2019-07-21;0.0627;0.0641;0.0594;0.0611;11590000.0;1590000000.0;25927070538;;5538;14;1.05;339292;93170000.0;2091
2019-07-22;0.0613;0.0622;0.0579;0.0594;13140000.0;1560000000.0;25927070538;;5915;14;1.04;339399;66599999.99999999;2297
2019-07-23;0.0593;0.0595;0.0551;0.0557;12790000.0;1480000000.0;25927070538;;632;10;1.03;339633;281000000.0;2401
2019-07-24;0.0556;0.0591;0.0538;0.0588;16300000.0;1470000000.0;25927070538;;6261;10;1.05;339773;72100000.0;2327
2019-07-25;0.0588;0.0607;0.0581;0.0585;13240000.0;1540000000.0;25927070538;;4264;10;1.05;340011;39450000.0;165
2019-07-26;0.0584;0.0630;0.0568;0.0627;20710000.0;1560000000.0;25927070538;;4748;12;1.09;340098;80950000.0;1849
2019-07-27;0.0627;0.0639;0.0570;0.0598;17650000.0;1560000000.0;25927070538;;4437;12;1.1;340396;51390000.0;1746
2019-07-28;0.0598;0.0600;0.0564;0.0593;10830000.0;1520000000.0;25927070538;;3854;12;1.04;340626;33119999.999999996;1543
2019-07-29;0.0594;0.0623;0.0579;0.0603;15150000.0;1560000000.0;25927070538;;4646;12;1.03;340797;45860000.0;1886
2019-07-30;0.0603;0.0616;0.0586;0.0598;9800000.0;1560000000.0;25927070538;;5409;12;1.03;341132;99170000.0;2045
2019-07-31;0.0598;0.0611;0.0592;0.0602;17000000.0;1560000000.0;25927070538;;6736;12;0.99;341422;50140000.0;2607
2019-08-01;0.0602;0.0603;0.0579;0.0588;12240000.0;1520000000.0;25927070538;;5431;10;0.98;341565;57700000.0;201
2019-08-02;0.0588;0.0589;0.0561;0.0573;20620000.0;1500000000.0;25927070538;;5393;10;0.98;341608;62450000.0;2004
2019-08-03;0.0574;0.0583;0.0568;0.0577;10580000.0;1490000000.0;25927070538;;4951;10;0.98;341866;69480000.0;1984
2019-08-04;0.0578;0.0584;0.0560;0.0563;16399999.999999998;1480000000.0;25927070538;;5541;10;0.96;341927;77580000.0;2146
2019-08-05;0.0563;0.0592;0.0561;0.0563;28760000.0;1480000000.0;25927070538;;7487;10;0.96;342174;97880000.0;2968
2019-08-06;0.0563;0.0564;0.0528;0.0534;22920000.0;1430000000.0;25927070538;;6369;10;0.97;342135;61470000.0;2381
2019-08-07;0.0533;0.0542;0.0513;0.0519;33420000.0;1370000000.0;25927070538;;5841;10;0.96;342256;64620000.00000001;2117
2019-08-08;0.0521;0.0532;0.0504;0.0519;16610000.0;1340000000.0;25927070538;;598;9;0.96;342567;81300000.0;2196
2019-08-09;0.0521;0.0523;0.0473;0.0477;15870000.0;1280000000.0;25927070538;;6015;8;0.99;342722;48480000.0;2108
2019-08-10;0.0478;0.0533;0.0476;0.0518;36470000.0;1310000000.0;25927070538;;5159;9;1.02;342754;46330000.0;1909
2019-08-11;0.0518;0.0560;0.0516;0.0548;25170000.0;1390000000.0;25927070538;;4501;9;1;342875;44960000.0;1765
2019-08-12;0.0547;0.0549;0.0525;0.0530;9480000.0;1390000000.0;25927070538;;3851;9;0.97;342984;27480000.0;1481
2019-08-13;0.0530;0.0531;0.0493;0.0525;21830000.0;1330000000.0;25927070538;;4399;9;0.96;34316;38330000.0;1778
2019-08-14;0.0525;0.0536;0.0465;0.0471;21180000.0;1310000000.0;25927070538;;5588;8;0.95;343206;37940000.0;2077
2019-08-15;0.0473;0.0481;0.0444;0.0474;24140000.0;1210000000.0;25927070538;;5992;8;0.96;343402;37970000.0;2261
2019-08-16;0.0473;0.0476;0.0444;0.0468;24860000.0;1190000000.0;25927070538;;5141;8;0.86;343578;59080000.0;1966
2019-08-17;0.0468;0.0481;0.0462;0.0474;8560000.0;1220000000.0;25927070538;;4258;8;0.83;343659;36730000.0;168
2019-08-18;0.0474;0.0512;0.0469;0.0507;15950000.0;1280000000.0;25927070538;;4643;9;0.84;343749;33540000.0;1769
2019-08-19;0.0507;0.0509;0.0495;0.0500;9300000.0;1300000000.0;25927070538;;4405;9;0.83;343839;36860000.0;1766
2019-08-20;0.0501;0.0503;0.0486;0.0492;9460000.0;1280000000.0;25927070538;;428;8;0.81;344048;40840000.0;1772
2019-08-21;0.0492;0.0492;0.0457;0.0472;11480000.0;1230000000.0;25927070538;;4435;8;0.82;34426;52710000.0;1665
2019-08-22;0.0474;0.0513;0.0466;0.0492;21730000.0;1270000000.0;25927070538;;51;8;0.83;344196;42410000.0;1995
2019-08-23;0.0492;0.0504;0.0488;0.0498;15680000.0;1290000000.0;25927070538;;4266;8;0.81;344272;37570000.0;1653
2019-08-24;0.0497;0.0516;0.0481;0.0502;14420000.0;1280000000.0;25927070538;;4402;9;0.78;344347;44640000.0;1748
2019-08-25;0.0502;0.0528;0.0484;0.0495;19950000.0;1320000000.0;25927070538;;4776;8;0.78;344678;57660000.0;1878
2019-08-26;0.0495;0.0510;0.0486;0.0496;27740000.0;1290000000.0;25927070538;;4432;8;0.74;344948;53930000.0;1672
2019-08-27;0.0496;0.0499;0.0480;0.0498;6560000.0;1270000000.0;25927070538;;4494;8;0.72;345161;49340000.0;1765
2019-08-28;0.0498;0.0504;0.0449;0.0458;19260000.0;1250000000.0;25927070538;;5485;8;0.77;345335;62700000.0;2034
2019-08-29;0.0458;0.0458;0.0432;0.0445;14390000.0;1150000000.0;25927070538;;613;8;0.77;345715;55690000.0;2333
2019-08-30;0.0446;0.0461;0.0439;0.0447;9780000.0;1160000000.0;25927070538;;5199;8;0.77;345974;39080000.0;1907
2019-08-31;0.0447;0.0455;0.0437;0.0448;6720000.0;1160000000.0;25927070538;;4569;8;0.77;346295;49150000.0;1686
2019-09-01;0.0447;0.0453;0.0436;0.0444;4130000.0;1150000000.0;25927070538;;36;8;0.77;346535;38060000.0;1305
2019-09-02;0.0444;0.0463;0.0433;0.0455;8560000.0;1160000000.0;25927070538;;4613;8;0.77;346522;48180000.0;1648
2019-09-03;0.0455;0.0475;0.0445;0.0467;19920000.0;1190000000.0;25927070538;;5565;8;0.78;346676;79360000.0;2086
2019-09-04;0.0467;0.0468;0.0450;0.0455;7820000.0;1180000000.0;25927070538;;4632;8;0.78;346975;102000000.0;1873
2019-09-05;0.0455;0.0455;0.0438;0.0444;8350000.0;1150000000.0;25927070538;;4457;7;0.78;347258;61630000.0;1748
2019-09-06;0.0444;0.0448;0.0432;0.0443;13860000.0;1140000000.0;25927070538;;4839;7;0.76;347409;66730000.00000001;1809
2019-09-07;0.0443;0.0467;0.0436;0.0461;10060000.0;1170000000.0;25927070538;;4317;8;0.77;347616;36200000.0;1634
2019-09-08;0.0461;0.0476;0.0460;0.0466;9420000.0;1210000000.0;25927070538;;4239;8;0.78;347889;44820000.0;1604
2019-09-09;0.0466;0.0473;0.0453;0.0468;12130000.0;1200000000.0;25927070538;;3876;8;0.72;348095;35040000.0;1361
2019-09-10;0.0468;0.0482;0.0455;0.0465;15300000.0;1220000000.0;25927070538;;4538;8;0.65;348362;64959999.99999999;1619
2019-09-11;0.0464;0.0470;0.0443;0.0449;9390000.0;1170000000.0;25927070538;;5418;7;0.63;348919;132000000.0;1749
