Date;Price (Open);Price (High);Price (Low);Price (Close);Real Volume;Circulating Marketcap;Circulating Supply;New Issuance;Volatility;Active Addresses Count;Transaction Volume;Transactions Count
2020-08-31;0.0270;0.0298;0.0258;0.0292;174000000.0;2020000000.0;71659651896.18;40530.0;1.14;294973;134000000.0;2297704
2020-09-01;0.0292;0.0360;0.0281;0.0347;297000000.0;2300000000.0;71659658361.07;48350.0;1.18;317417;368000000.0;2321276
2020-09-02;0.0347;0.0384;0.0313;0.0345;737000000.0;2510000000.0;71659666172.19;48190.0;1.26;339657;706000000.0;2664615
2020-09-03;0.0346;0.0498;0.0341;0.0401;574000000.0;2930000000.0;71659650448.71;56870.0;1.44;338893;538000000.0;2933340
2020-09-04;0.0402;0.0448;0.0314;0.0356;1460000000.0;2760000000.0;71659655448.05;48840.0;1.44;31559;376000000.0;2706305
2020-09-05;0.0356;0.0366;0.0273;0.0299;310000000.0;2280000000.0;71659657496.03;40910.0;1.5;309961;222000000.0;2396450
2020-09-06;0.0297;0.0326;0.0280;0.0315;214000000.0;2200000000.0;71659667617.84;43570.0;1.53;313399;134000000.0;2142382
2020-09-07;0.0314;0.0326;0.0283;0.0325;143000000.0;2200000000.0;71659649524.36;44560.0;1.53;338809;106000000.0;2205381
2020-09-08;0.0325;0.0355;0.0316;0.0351;199000000.0;2410000000.0;71659658161.21;48180.0;1.54;330488;134000000.0;2238846
2020-09-09;0.0352;0.0359;0.0336;0.0340;120000000.0;2480000000.0;71659661160.37;46870.0;1.55;315669;107000000.0;2103792
2020-09-10;0.0340;0.0352;0.0325;0.0330;207000000.0;2420000000.0;71659656606.66;45600.0;1.53;366194;94460000.0;2216936
2020-09-11;0.0330;0.0345;0.0315;0.0335;146000000.0;2370000000.0;71659647444.83;46220.0;1.54;334322;106000000.0;2226461
2020-09-12;0.0335;0.0336;0.0321;0.0327;189000000.0;2340000000.0;71659657517.26;45210.0;1.52;322706;60150000.0;2035447
2020-09-13;0.0327;0.0328;0.0294;0.0307;79680000.0;2240000000.0;71659662247.59;42210.0;1.51;289158;141000000.0;1864801
2020-09-14;0.0306;0.0314;0.0300;0.0304;232000000.0;2200000000.0;71659660206.3;41300.0;1.51;29992;77610000.0;1957425
2020-09-15;0.0304;0.0305;0.0275;0.0279;187000000.0;2089999999.9999998;71659668516.3;38240.0;1.47;312043;74970000.0;2069845
2020-09-16;0.0279;0.0299;0.0262;0.0264;219000000.0;1950000000.0;71659655110.92;36540.0;1.47;305971;232000000.0;2202472
2020-09-17;0.0264;0.0285;0.0264;0.0282;80170000.0;1950000000.0;71659658746.44;38720.0;1.47;311317;121000000.0;2263885
2020-09-18;0.0282;0.0299;0.0278;0.0291;116000000.0;2060000000.0;71659653397.65;39910.0;1.45;332396;105000000.0;2188321
2020-09-19;0.0291;0.0293;0.0276;0.0277;121000000.0;2020000000.0;71659652849.77;38270.0;1.46;356317;69130000.0;1975696
2020-09-20;0.0277;0.0277;0.0264;0.0270;51600000.0;1940000000.0;71659650400.64;37200.0;1.41;313498;63340000.0;1847753
2020-09-21;0.0269;0.0275;0.0246;0.0249;47150000.0;1860000000.0;71659644839.86;34050.0;1.43;342265;227000000.0;1975624
2020-09-22;0.0249;0.0255;0.0246;0.0250;39420000.0;1790000000.0;71659653740.46;33600.0;1.42;3401;93780000.0;1885957
2020-09-23;0.0250;0.0261;0.0246;0.0249;89010000.0;1810000000.0;71659648993.14;33860.0;1.42;387264;106000000.0;2145247
2020-09-24;0.0249;0.0264;0.0245;0.0263;84790000.0;1820000000.0;71659644942.88;36070.0;1.39;354647;137000000.0;1980987
2020-09-25;0.0263;0.0275;0.0255;0.0272;51960000.0;1890000000.0;71659647348.95;37430.0;1.39;396801;260000000.0;2345945
2020-09-26;0.0272;0.0290;0.0270;0.0272;109000000.0;2000000000.0;71659665232.38;37560.0;1.39;363557;233000000.0;2301410
2020-09-27;0.0272;0.0276;0.0260;0.0266;121000000.0;1910000000.0;71659647494.08;36610.0;1.39;341739;148000000.0;2082837
2020-09-28;0.0266;0.0272;0.0261;0.0263;77290000.0;1920000000.0;71659644052.92;36390.0;1.39;369343;119000000.0;2289737
2020-09-29;0.0262;0.0264;0.0255;0.0263;179000000.0;1870000000.0;71659652003.57;36340.0;1.36;343094;130000000.0;2256778
2020-09-30;0.0263;0.0266;0.0257;0.0262;39190000.0;1870000000.0;71659644060.64;36180.0;1.33;391008;285000000.0;2521656
2020-10-01;0.0262;0.0268;0.0251;0.0258;149000000.0;1870000000.0;71659647242.64;35400.0;1.15;353495;147000000.0;2273202
2020-10-02;0.0258;0.0262;0.0240;0.0259;49180000.0;1810000000.0;71659660648.09;35880.0;1.15;374116;185000000.0;2357402
2020-10-03;0.0259;0.0285;0.0258;0.0272;111000000.0;1960000000.0;71659664013.14;37760.0;1.05;411536;198000000.0;2964889
2020-10-04;0.0272;0.0274;0.0259;0.0265;93390000.0;1900000000.0;71659652283.93;36480.0;0.94;407168;143000000.0;2974516
2020-10-05;0.0265;0.0268;0.0259;0.0264;91160000.0;1880000000.0;71659649441.7;36500.0;0.77;431379;89550000.0;2741979
2020-10-06;0.0265;0.0266;0.0253;0.0256;167000000.0;1860000000.0;71659661646.53;35290.0;0.75;412019;109000000.0;2465452
2020-10-07;0.0256;0.0257;0.0250;0.0255;63060000.0;1820000000.0;71659649749.44;35200.0;0.74;372772;58280000.0;2312692
2020-10-08;0.0255;0.0260;0.0250;0.0257;78620000.0;1830000000.0;71659652339.05;35480.0;0.67;370319;62990000.0;2436278
2020-10-09;0.0257;0.0265;0.0256;0.0263;128000000.0;1870000000.0;71659644759.36;36370.0;0.67;356234;50140000.0;2434239
2020-10-10;0.0263;0.0275;0.0263;0.0265;47950000.0;1920000000.0;71659659849.22;36570.0;0.68;348644;62950000.0;2307480
2020-10-11;0.0264;0.0268;0.0261;0.0266;64650000.00000001;1900000000.0;71659653342.73;36690.0;0.67;323848;50670000.0;2351940
2020-10-12;0.0266;0.0279;0.0259;0.0271;82200000.0;1910000000.0;71659651168.88;36720.0;0.67;334348;78400000.0;2327825
2020-10-13;0.0271;0.0273;0.0265;0.0268;112000000.0;1930000000.0;71659666969.68;36700.0;0.64;377667;110000000.0;2314352
2020-10-14;0.0268;0.0272;0.0263;0.0268;104000000.0;1920000000.0;71659670720.46;36880.0;0.64;367167;68170000.0;2282011
2020-10-15;0.0268;0.0268;0.0263;0.0265;36140000.0;1900000000.0;71659660230.59;36480.0;0.58;367935;60840000.0;2292179
2020-10-16;0.0265;0.0266;0.0255;0.0257;37150000.0;1850000000.0;71659648077.72;35570.0;0.56;346399;59700000.0;2140133
