Date;Price (Open);Price (High);Price (Low);Price (Close);Real Volume;Circulating Marketcap;Circulating Supply;Active Addresses Count;Volatility;Transaction Volume;Transactions Count
2020-11-20;2.64;2.83;2.64;2.78;110000000.0;2570000000.0;937907181.82;15127;0.52;96430000.0;4953788
2020-11-21;2.78;3.26;2.69;3.23;202000000.0;2810000000.0;937935654.84;10208;0.73;128000000.0;4464901
2020-11-22;3.23;3.31;2.90;3.06;276000000.0;2900000000.0;937963681.62;10173;0.76;210000000.0;4314606
2020-11-23;3.07;3.40;3.00;3.38;259000000.0;3010000000.0;937991692.25;25419;0.83;109000000.0;4503110
2020-11-24;3.37;3.77;3.33;3.59;311000000.0;3320000000.0;938019707.21;11201;0.85;200000000.0;4503708
2020-11-25;3.59;3.88;3.30;3.43;478000000.0;3360000000.0;938047737.43;2365;0.85;149000000.0;4733164
2020-11-26;3.42;3.52;2.70;2.96;612000000.0;2860000000.0;938075689;23344;1.09;139000000.0;4914187
2020-11-27;2.96;3.03;2.76;2.87;92660000.0;2710000000.0;938103705.93;26068;1.02;115000000.0;4976232
2020-11-28;2.87;3.07;2.82;3.00;78060000.0;2770000000.0;938131738.77;9305;1.02;124000000.0;5034644
2020-11-29;3.00;3.10;2.91;3.03;110000000.0;2810000000.0;938159774.62;20932;1;68600000.0;4842094
2020-11-30;3.04;3.28;3.00;3.26;217000000.0;2950000000.0;938187809.31;21904;1.02;100000000.0;4744197
2020-12-01;3.26;3.34;2.92;3.00;341000000.0;2980000000.0;938215333.48;10347;1.05;146000000.0;4646744
2020-12-02;3.00;3.09;2.96;3.06;54920000.0;2840000000.0;938243785.63;21753;1.06;60600000.0;4691299
2020-12-03;3.06;3.14;3.01;3.08;46820000.0;2890000000.0;938271823.22;21687;1.06;55830000.0;4310522
2020-12-04;3.08;3.15;2.80;2.85;89010000.0;2830000000.0;938299860.58;28116;1.06;79330000.0;4531323
2020-12-05;2.85;3.01;2.82;3.01;35600000.0;2740000000.0;938327904.13;13383;1.09;46720000.0;4319767
2020-12-06;3.01;3.04;2.91;3.00;27330000.0;2790000000.0;938355431.14;25396;1.1;40190000.0;4665987
2020-12-07;3.00;3.01;2.91;2.95;28560000.0;2780000000.0;938383888.6;11165;1.1;70460000.0;4373626
2020-12-08;2.95;2.96;2.74;2.80;164000000.0;2690000000.0;938411926.03;23092;1.11;56120000.0;4544720
2020-12-09;2.80;2.84;2.66;2.81;197000000.0;2600000000.0;938439946.88;20396;1.12;70270000.0;4598607
2020-12-10;2.81;2.82;2.70;2.74;25920000.0;2590000000.0;938468012.73;16514;1.12;41830000.0;4232517
2020-12-11;2.75;2.75;2.65;2.69;145000000.0;2530000000.0;938496037.54;25761;1.12;59440000.0;4518962
2020-12-12;2.70;2.79;2.68;2.77;29790000.0;2580000000.0;938523574.54;21595;1.12;60390000.0;4440322
2020-12-13;2.77;2.90;2.75;2.85;39720000.0;2660000000.0;938551603.02;21923;1.12;40300000.0;4615535
2020-12-14;2.85;2.86;2.80;2.85;46230000.0;2660000000.0;938579628.6;20306;1.11;58610000.0;4228841
2020-12-15;2.85;2.90;2.81;2.86;56250000.0;2680000000.0;938608143.55;8918;1.11;51420000.0;4347829
2020-12-16;2.86;3.12;2.82;3.10;122000000.0;2790000000.0;938635684.94;20783;1.11;94880000.0;4675817
2020-12-17;3.10;3.26;2.97;3.04;338000000.0;2920000000.0;938664197.57;9518;1.12;186000000.0;4420703
2020-12-18;3.04;3.13;2.98;3.06;104000000.0;2870000000.0;938691744.4;975;1.12;80610000.0;4495802
2020-12-19;3.06;3.12;3.03;3.06;62870000.0;2900000000.0;938720256.99;9769;1.12;62070000.0;4489211
2020-12-20;3.06;3.33;3.00;3.13;233000000.0;2990000000.0;938747810.7;10462;1.12;130000000.0;4330832
2020-12-21;3.13;3.28;2.90;2.93;180000000.0;2890000000.0;938776321.96;13568;0.99;150000000.0;4403893
2020-12-22;2.93;2.95;2.77;2.90;104000000.0;2700000000.0;938803875.16;15579;0.98;78490000.0;4332907
2020-12-23;2.90;2.91;1.96;2.31;400000000.0;2390000000.0;938832387.41;997;0.95;139000000.0;4421315
2020-12-24;2.31;2.69;2.26;2.67;122000000.0;2320000000.0;938859946.88;16313;1.19;165000000.0;4294009
2020-12-25;2.67;2.74;2.54;2.66;219000000.0;2480000000.0;938887980.4;15599;1.24;101000000.0;4354791
2020-12-26;2.67;2.69;2.52;2.61;126000000.0;2460000000.0;938916047.97;10402;1.15;74990000.0;4267558
2020-12-27;2.61;2.87;2.47;2.71;132000000.0;2520000000.0;938944181.43;10225;1.17;149000000.0;4444998
2020-12-28;2.72;2.89;2.68;2.76;199000000.0;2620000000.0;938972219.16;17443;1.16;104000000.0;4237603
2020-12-29;2.76;2.79;2.50;2.64;350000000.0;2470000000.0;939000353.3;10249;1.16;88330000.0;4242181
2020-12-30;2.64;2.67;2.54;2.61;194000000.0;2440000000.0;939028393.72;10429;1.12;80360000.0;4394734
2020-12-31;2.61;2.66;2.51;2.59;73300000.0;2430000000.0;939056684.05;9142;1.09;89080000.0;4308641
2021-01-01;2.60;2.74;2.57;2.64;192000000.0;2480000000.0;939084666.84;14315;1.09;64000000.0;4247062
2021-01-02;2.64;2.73;2.57;2.63;187000000.0;2470000000.0;939112806.57;9505;1.09;88510000.0;4402263
2021-01-03;2.63;2.85;2.58;2.80;217000000.0;2550000000.0;939140944.88;11146;1.07;126000000.0;4282740
2021-01-04;2.81;3.13;2.60;2.82;492000000.0;2710000000.0;939168384.9;11293;1.06;208000000.0;3961067
2021-01-05;2.82;2.96;2.71;2.90;181000000.0;2670000000.0;939196426.72;10642;1.07;124000000.0;3968687
