Date;Price (Open);Price (High);Price (Low);Price (Close);Real Volume;Circulating Marketcap;Circulating Supply;New Issuance;Active Addresses Count;Addresses with balance > $10M;Volatility;Addresses Count;Transaction Volume;Transactions Count
2019-07-01;122.23;126.35;113.41;122.73;701000000.0;7540000000.0;62502642.32;1750000.0;96909;121;0.99;2906692;271000000.0;2947
2019-07-02;122.61;123.60;112.14;118.70;586000000.0;7310000000.0;62517292.35;1730000.0;86516;118;0.99;2903730;210000000.0;26198
2019-07-03;119.11;123.16;117.11;121.83;451000000.0;7520000000.0;62532942.38;1900000.0;86084;121;0.99;2903491;332000000.0;28222
2019-07-04;121.98;127.36;118.68;119.74;487000000.0;7680000000.0;62547117.4;1700000.0;8379;120;0.96;2903699;279000000.0;2732
2019-07-05;119.49;120.78;116.53;118.57;1030000000.0;7440000000.0;62560367.42;1570000.0;84634;117;0.95;2903506;216000000.0;27987
2019-07-06;118.58;122.37;116.80;118.28;591000000.0;7480000000.0;62574542.44;1670000.0;78072;118;0.95;2907759;212000000.0;27004
2019-07-07;118.02;121.14;117.19;120.20;199000000.0;7440000000.0;62589142.46;1750000.0;88018;121;0.92;2914201;188000000.0;31832
2019-07-08;120.21;125.67;118.31;123.44;253000000.0;7560000000.0;62602592.47;1660000.0;96149;121;0.91;2919185;269000000.0;3531
2019-07-09;123.46;124.28;117.58;119.48;265000000.0;7570000000.0;62616942.49;1710000.0;88293;119;0.92;2924441;211000000.0;31019
2019-07-10;119.45;120.44;102.13;108.23;549000000.0;6960000000.0;62631842.52;1610000.0;98561;114;0.96;2934052;357000000.0;39837
2019-07-11;108.17;108.19;95.24;103.00;440000000.0;6400000000.0;62647442.54;1590000.0;88603;111;0.85;2942367;396000000.0;33005
2019-07-12;102.96;107.16;100.81;105.18;230000000.0;6550000000.0;62662442.56;1580000.0;86926;112;0.84;2948769;317000000.0;34532
2019-07-13;105.25;105.36;97.51;101.10;581000000.0;6380000000.0;62679042.58;1680000.0;78512;111;0.85;2954271;137000000.0;29819
2019-07-14;101.38;101.85;87.90;89.77;617000000.0;5860000000.0;62694442.62;1390000.0;82148;85;0.91;2958456;173000000.0;28851
2019-07-15;89.73;92.98;84.91;90.54;314000000.0;5580000000.0;62708817.65;1310000.0;8458;85;0.91;2963936;203000000.0;30563
2019-07-16;90.48;91.94;76.43;79.63;366000000.0;5260000000.0;62721917.66;1050000.0;89439;79;0.97;2964098;279000000.0;31812
2019-07-17;79.64;94.79;76.82;90.20;509000000.0;5470000000.0;62736167.7;1280000.0;92288;85;1.1;2963010;280000000.0;32194
2019-07-18;90.28;104.71;87.15;101.33;476000000.0;6020000000.0;62750842.71;1500000.0;85317;111;1.19;2967646;276000000.0;30715
2019-07-19;101.33;101.48;94.95;98.53;292000000.0;6150000000.0;62764742.74;1370000.0;78573;85;1.2;2974642;170000000.0;30329
2019-07-20;98.59;105.91;97.66;100.38;258000000.0;6360000000.0;62778092.75;1350000.0;74738;110;1.2;2979448;183000000.0;27767
2019-07-21;100.42;101.61;96.50;99.73;194000000.0;6200000000.0;62791917.76;1380000.0;68085;85;1.2;2985802;102000000.0;23378
2019-07-22;99.87;100.90;91.35;95.17;255000000.0;6000000000.0;62805842.77;1320000.0;74029;85;1.2;2991362;178000000.0;26654
2019-07-23;95.09;95.11;88.49;90.05;218000000.0;5750000000.0;62819692.79;1250000.0;79195;83;1.2;2996142;126000000.0;28507
2019-07-24;89.99;97.29;86.69;94.48;280000000.0;5760000000.0;62834592.79;1410000.0;72515;85;1.22;3002423;161000000.0;27257
2019-07-25;94.45;96.54;91.39;93.26;193000000.0;5930000000.0;62847742.8;1230000.0;73017;84;1.22;3006864;129000000.0;27038
2019-07-26;93.23;94.67;90.08;94.19;141000000.0;5830000000.0;62861317.82;1280000.0;72887;85;1.22;3010102;144000000.0;2817
2019-07-27;94.15;96.41;86.67;88.74;222000000.0;5690000000.0;62876292.83;1330000.0;68243;83;1.23;3015404;131000000.0;25897
2019-07-28;88.71;90.92;83.44;90.01;190000000.0;5540000000.0;62891992.84;1410000.0;66379;83;1.17;3020254;137000000.0;24689
2019-07-29;90.07;92.18;87.43;90.25;167000000.0;5660000000.0;62906742.85;1330000.0;75048;83;1.15;3025569;125000000.0;29363
2019-07-30;90.26;92.81;88.44;90.29;128000000.0;5690000000.0;62921992.86;1380000.0;78164;83;1.06;3026617;147000000.0;29818
2019-07-31;90.27;100.02;89.98;98.89;227000000.0;6020000000.0;62937217.89;1510000.0;78467;87;1.08;3029692;183000000.0;29848
2019-08-01;98.95;100.73;95.76;98.90;186000000.0;6170000000.0;62950392.9;1300000.0;78024;86;1.08;3032575;143000000.0;29051
2019-08-02;98.95;98.99;92.67;94.79;504000000.0;6050000000.0;62965067.92;1390000.0;76451;85;1.08;3039068;133000000.0;30819
2019-08-03;94.84;96.72;93.61;94.22;325000000.0;5990000000.0;62980017.93;1410000.0;71111;85;1.08;3043772;151000000.0;28545
2019-08-04;94.23;94.87;90.45;93.02;269000000.0;5830000000.0;62994242.94;1320000.0;73896;85;1.08;3042983;121000000.0;26447
2019-08-05;93.09;107.07;93.08;96.41;762000000.0;6240000000.0;63004355.45;960000.0;86418;86;1.09;3041700;185000000.0;32312
2019-08-06;96.36;99.17;90.94;92.90;402000000.0;6000000000.0;63011092.97;630000.0;83804;84;1.09;3046028;194000000.0;33768
2019-08-07;92.73;94.46;87.23;90.53;904000000.0;5750000000.0;63017567.99;590000.0;79972;83;1.09;3050182;398000000.0;33457
2019-08-08;90.67;92.68;87.86;89.89;155000000.0;5660000000.0;63023480.51;530000.0;90521;83;1.08;3057294;166000000.0;40046
2019-08-09;90.15;90.35;82.49;84.23;172000000.0;5410000000.0;63029830.52;530000.0;182195;82;1.1;3135820;116000000.0;37566
2019-08-10;84.32;87.33;81.58;85.29;602000000.0;5370000000.0;63036068.05;530000.0;270447;82;1.07;3272924;166000000.0;32421
2019-08-11;85.31;91.44;85.07;89.91;295000000.0;5570000000.0;63042980.56;620000.0;88096;83;1.07;3262254;385000000.0;30084
2019-08-12;89.90;89.98;85.36;85.71;120000000.0;5480000000.0;63050393.08;640000.0;88503;82;1.08;3257470;230000000.0;32678
2019-08-13;85.74;86.59;83.01;84.58;337000000.0;5340000000.0;63057505.61;600000.0;75685;82;1.07;3260522;1530000000.0;30113
