Date;Price (Open);Price (High);Price (Low);Price (Close);Real Volume;Circulating Marketcap;Circulating Supply;New Issuance;Active Addresses Count;Addresses with balance > $10M;Volatility;Addresses Count;Transaction Volume;Transactions Count;Price
2019-09-25;221.22;235.23;216.58;227.44;415000000.0;4040000000.0;18027677.82;410000.0;37638;28;0.94;17425521;1320000000.0;54605;224.32999999999998
2019-09-26;227.43;227.63;203.73;214.05;112000000.0;3900000000.0;18029577.94;410000.0;37618;25;0.95;17424977;823000000.0;5421;220.74
2019-09-27;214.09;223.44;208.33;220.64;63490000.0;3890000000.0;18031415.54;400000.0;30991;27;0.96;17425737;672000000.0;48292;217.365
2019-09-28;220.59;230.4;217.9;227.55;55570000.0;4030000000.0000005;18033290.61;430000.0;28936;29;0.96;17426467;500000000.0;38747;224.07
2019-09-29;227.53;227.96;212.06;218.43;58220000.0;3940000000.0;18035115.71;400000.0;30745;27;0.96;17429175;339000000.0;40271;222.98000000000002
2019-09-30;218.46;230.81;212.74;227.71;68930000.0;4019999999.9999995;18036878.28;400000.0;27331;29;0.97;17429456;377000000.0;36076;223.085
2019-10-01;227.9;235.97;219.04;223.22;77080000.0;4099999999.9999995;18038340.79;330000.0;65303;30;0.97;17440221;667000000.0;16629;225.56
2019-10-02;223.26;225.9;220.4;225.25;32770000.000000004;4030000000.0000005;18040165.79;410000.0;33084;29;0.97;17438141;383000000.0;18873;224.255
2019-10-03;225.41;225.9;216.33;222.48;77900000.0;4000000000.0;18041990.81;410000.0;31999;29;0.96;17437056;278000000.0;25678;223.945
2019-10-04;222.52;225.8;218.09;221.7;91040000.0;4010000000.0;18043903.41;430000.0;33875;29;0.95;17434298;292000000.0;46409;222.11
2019-10-05;221.65;223.96;218.37;223.18;74430000.0;3990000000.0;18045740.98;410000.0;28353;29;0.95;17435534;224000000.0;37487;222.41500000000002
2019-10-06;223.51;223.88;215.15;220.46;68060000.0;3970000000.0;18047503.58;390000.0;2921;28;0.95;17436795;215000000.0;4495;221.985
2019-10-07;220.43;238.03;218.67;233.37;64730000.00000001;4139999999.9999995;18049341.22;430000.0;35928;30;0.98;17434231;374000000.0;50105;226.9
2019-10-08;233.26;239.66;227.24;231.81;49240000.0;4200000000.0;18051253.8;440000.0;98648;29;0.96;17412624;376000000.0;45859;232.535
