Date;Price (Open);Price (High);Price (Low);Price (Close);Real Volume;Circulating Marketcap;Circulating Supply;New Issuance;Active Addresses Count;Addresses with balance > $10M;Volatility;Addresses Count;Transaction Volume
2022-03-02;118.98;129.00;115.18;125.87;125000000.0;1450000000.0;12180275.17;450000.0;28133;18;0.99;8625;49160000.0
2022-03-03;125.95;131.00;121.22;129.11;176000000.0;1530000000.0;12183872.04;460000.0;25637;18;1;863045;189000000.0
2022-03-04;129.10;129.45;116.00;117.01;67870000.0;1570000000.0;12187428.29;420000.0;31676;16;1.01;863973;39850000.0
2022-03-05;116.97;119.19;112.46;116.44;37140000.0;1430000000.0;12191006.42;420000.0;24043;16;1.05;865495;26340000.0
2022-03-06;116.37;119.60;107.19;107.41;135000000.0;1420000000.0;12194622.04;380000.0;24419;13;1.06;86621;23940000.0
2022-03-07;107.44;113.83;103.70;109.54;156000000.0;1310000000.0;12198206.42;400000.0;36173;14;1.07;868974;45780000.0
2022-03-08;109.50;141.26;108.99;138.56;772000000.0;1340000000.0;12201781.42;490000.0;2986;18;1.17;868611;180000000.0
2022-03-09;138.55;146.64;135.79;141.53;693000000.0;1690000000.0;12205365.79;500000.0;29679;20;1.35;868041;120000000.0
2022-03-10;141.58;160.65;130.66;157.29;572000000.0;1730000000.0;12208918.92;560000.0;81171;24;1.35;839013;227000000.0
2022-03-11;157.34;158.74;146.02;153.45;196000000.0;1920000000.0;12212522.04;560000.0;71535;23;1.4;801726;95100000.0
2022-03-12;153.47;159.73;143.65;151.65;113000000.0;1870000000.0;12216134.54;550000.0;25088;23;1.39;789872;28200000.0
2022-03-13;151.68;158.68;144.70;154.89;128000000.0;1850000000.0;12219700.17;560000.0;24593;23;1.38;790426;32799999.999999996
2022-03-14;154.65;156.40;143.13;149.58;118000000.0;1890000000.0;12223303.29;530000.0;2891;23;1.36;794064;39940000.0
2022-03-15;149.57;150.09;135.56;136.29;123000000.0;1830000000.0;12226881.42;490000.0;29312;20;1.38;792329;44550000.0
2022-03-16;136.32;154.09;135.59;154.07;117000000.0;1670000000.0;12230106.42;550000.0;24961;23;1.42;795445;248000000.0
2022-03-17;154.03;166.69;148.29;152.81;158000000.0;1880000000.0;12234043.92;550000.0;27334;23;1.46;798087;219000000.0
2022-03-18;152.87;172.74;147.39;171.89;249000000.0;1870000000.0;12237622.04;610000.0;21829;25;1.46;797137;112000000.0
2022-03-19;172.04;183.35;167.14;179.87;621000000.0;2109999999.9999998;12241212.67;650000.0;26982;28;1.51;79493;257000000.0
2022-03-20;179.85;181.37;169.32;173.76;259000000.0;2200000000.0;12244787.67;620000.0;27452;26;1.48;794548;60230000.0
2022-03-21;173.74;184.87;157.76;181.44;365000000.0;2130000000.0;12248359.54;650000.0;26035;28;1.46;797965;76090000.0
2022-03-22;181.45;184.03;172.86;174.35;208000000.0;2220000000.0;12251928.29;620000.0;28946;26;1.47;797385;37490000.0
2022-03-23;174.47;187.99;171.13;182.16;219000000.0;2140000000.0000002;12255522.04;660000.0;29153;29;1.46;792392;66040000.00000001
2022-03-24;182.17;197.20;177.16;192.99;252000000.0;2230000000.0;12259072.04;690000.0;25587;30;1.43;796129;264000000.0
2022-03-25;192.96;200.69;188.40;195.31;322000000.0;2370000000.0;12262678.29;700000.0;25439;30;1.44;797739;78350000.0
2022-03-26;195.27;216.69;195.27;204.80;420000000.0;2400000000.0;12266265.79;730000.0;28274;47;1.42;794845;153000000.0
2022-03-27;204.83;210.95;195.67;210.32;204000000.0;2510000000.0;12269862.67;760000.0;25123;48;1.42;796095;22700000.0
2022-03-28;210.32;211.87;189.66;192.28;241000000.0;2580000000.0;12273456.42;690000.0;29795;30;1.43;797215;31350000.0
2022-03-29;192.29;200.02;188.92;196.26;173000000.0;2360000000.0;12277009.54;700000.0;28602;31;1.46;795388;92630000.0
2022-03-30;196.27;198.90;186.53;191.91;109000000.0;2410000000.0;12280618.92;690000.0;19676;30;1.44;796721;274000000.0
2022-03-31;191.99;196.23;176.47;178.30;82710000.0;2360000000.0;12284140.79;630000.0;19331;29;1.39;796029;36640000.0
2022-04-01;178.28;193.67;170.93;186.15;115000000.0;2190000000.0;12287787.67;670000.0;32829;30;1.4;796962;48510000.0
2022-04-02;186.10;191.77;177.20;177.68;54020000.0;2290000000.0;12291309.54;640000.0;2206;29;1.4;797869;15010000.0
2022-04-03;177.79;182.31;173.81;179.71;92580000.0;2190000000.0;12294909.54;640000.0;25404;29;1.41;794992;40770000.0
2022-04-04;179.66;180.12;163.05;173.71;59830000.0;2210000000.0;12298503.29;620000.0;40545;27;1.4;802933;30640000.0
2022-04-05;173.69;178.77;165.00;165.59;48410000.0;2140000000.0000002;12302084.54;600000.0;3111;25;1.37;805766;21340000.0
2022-04-06;165.57;177.61;158.29;160.99;101000000.0;2040000000.0;12305662.67;580000.0;26074;25;1.34;803763;44890000.0
2022-04-07;161.21;174.29;158.65;172.67;73750000.0;1980000000.0;12309206.42;630000.0;26734;27;1.35;800218;51570000.0
2022-04-08;172.55;183.92;164.22;165.74;150000000.0;2120000000.0;12312837.67;590000.0;22857;25;1.06;797104;62660000.0
2022-04-09;165.75;174.66;161.35;169.30;168000000.0;2040000000.0;12316409.54;600000.0;16933;26;1.06;796865;78540000.0
2022-04-10;169.31;170.02;160.25;161.19;74810000.0;2089999999.9999998;12319972.04;580000.0;29576;25;1;802066;24800000.0
2022-04-11;161.11;163.71;141.81;142.73;84660000.0;1990000000.0;12323556.42;510000.0;62151;23;1.05;81071;144000000.0
2022-04-12;142.74;149.87;141.42;147.41;47500000.0;1760000000.0;12327162.67;530000.0;2609;23;1.09;808349;113000000.0
2022-04-13;147.39;152.93;144.31;152.77;38830000.0;1820000000.0;12330731.42;540000.0;21795;25;1.09;803461;37940000.0
2022-04-14;152.67;155.76;141.55;144.17;35410000.0;1880000000.0;12334312.67;520000.0;15563;23;1.11;801258;14950000.0
2022-04-15;144.19;149.90;143.73;146.54;29000000.0;1780000000.0;12337915.79;530000.0;22665;23;1.07;805372;17580000.0
2022-04-16;146.55;147.78;141.50;143.92;18510000.0;1810000000.0;12341472.04;520000.0;14955;23;0.97;805563;9750000.0
2022-04-17;143.95;145.83;137.26;137.49;21290000.0;1780000000.0;12345068.92;490000.0;15878;22;0.97;806118;7830000.0
2022-04-18;137.44;157.51;131.61;156.13;82620000.0;1700000000.0;12348650.17;560000.0;55495;25;0.91;805905;53470000.0
2022-04-19;156.30;163.82;153.24;158.68;68110000.0;1930000000.0;12352228.29;570000.0;25216;25;0.98;799707;30480000.0
2022-04-20;158.68;162.06;154.81;156.76;61260000.0;1960000000.0;12355834.54;560000.0;19071;25;0.98;79948;29190000.0
2022-04-21;156.79;171.07;156.70;159.53;86830000.0;1940000000.0;12359331.42;570000.0;19062;24;0.97;801189;21070000.0
2022-04-22;159.58;170.37;156.83;157.16;66930000.00000001;1970000000.0;12362959.54;570000.0;20426;24;0.96;799005;26310000.0
2022-04-23;157.14;158.43;152.77;153.21;23950000.0;1940000000.0;12366562.67;550000.0;1493;24;0.95;800023;8670000.0
2022-04-24;153.15;163.63;152.87;160.87;48530000.0;1890000000.0;12370125.17;590000.0;15142;24;0.94;801017;19360000.0
2022-04-25;160.97;166.78;146.84;165.90;72150000.0;1990000000.0;12373678.29;590000.0;60765;24;0.96;801746;29160000.0
2022-04-26;165.98;170.48;143.22;146.08;74560000.0;2049999999.9999998;12377278.29;520000.0;2941;24;0.97;798917;52010000.0
2022-04-27;145.99;151.51;143.41;149.29;57330000.0;1810000000.0;12380837.67;530000.0;24649;24;1;801748;22150000.0
2022-04-28;149.25;152.12;144.93;146.93;110000000.0;1850000000.0;12384443.92;530000.0;2308;24;0.97;801078;21130000.0
2022-04-29;146.94;147.78;125.79;128.34;89820000.0;1820000000.0;12387978.29;460000.0;23439;19;0.99;800658;36040000.0
2022-04-30;128.34;133.69;108.76;113.91;76060000.0;1590000000.0;12391618.92;410000.0;22499;16;1.04;802395;34240000.0
2022-05-01;113.92;126.04;111.22;124.13;62490000.0;1410000000.0;12395162.67;440000.0;22476;19;1.14;801025;26760000.0
2022-05-02;124.12;125.80;115.68;124.73;54430000.0;1540000000.0;12398759.54;440000.0;56405;19;1.14;811681;17650000.0
2022-05-03;124.77;127.49;117.49;119.73;33240000.000000004;1550000000.0;12402365.79;430000.0;27004;18;1.13;809346;15660000.0
2022-05-04;119.69;138.15;118.92;134.38;49650000.0;1480000000.0;12405925.17;480000.0;29669;21;1.14;804755;33430000.0
2022-05-05;134.43;139.84;119.10;125.53;65250000.0;1670000000.0;12409503.29;450000.0;25092;19;1.26;807188;31100000.0
2022-05-06;125.49;128.61;119.73;123.67;48810000.0;1560000000.0;12413075.17;440000.0;20898;19;1.22;806662;13400000.0
2022-05-07;123.68;124.48;110.18;112.67;157000000.0;1540000000.0;12416628.29;400000.0;20818;16;1.22;807055;9400000.0
2022-05-08;112.68;116.69;108.94;114.17;102000000.0;1400000000.0;12420203.29;410000.0;24454;16;1.22;802885;21520000.0
2022-05-09;114.28;117.01;91.97;92.66;102000000.0;1420000000.0;12423765.79;340000.0;56179;15;1.3;800331;32549999.999999996
2022-05-10;92.67;104.96;88.02;93.01;90000000.0;1150000000.0;12427393.92;330000.0;24672;15;1.39;802911;106000000.0
2022-05-11;92.99;96.85;75.24;83.10;132000000.0;1160000000.0;12430762.67;300000.0;23648;15;1.38;803333;57340000.0
2022-05-12;83.12;89.26;66.37;86.40;128000000.0;1030000000.0;12434547.04;310000.0;21599;14;1.34;799446;42510000.0
2022-05-13;86.86;99.83;85.52;93.80;73460000.0;1080000000.0;12438122.04;340000.0;16892;14;1.36;800428;27040000.0
2022-05-14;93.93;107.49;86.87;105.54;81030000.0;1170000000.0;12441718.92;380000.0;15913;15;1.39;800136;62050000.0
2022-05-15;105.54;114.06;102.43;112.32;43760000.0;1310000000.0;12445350.17;410000.0;1432;15;1.44;801604;19250000.0
2022-05-16;112.20;112.26;101.33;102.65;39190000.0;1400000000.0;12448850.17;360000.0;51266;15;1.47;812157;28630000.0
2022-05-17;102.78;116.47;99.66;114.54;45900000.0;1280000000.0;12452481.42;410000.0;27288;15;1.49;804225;13790000.0
2022-05-18;114.50;116.23;98.68;99.56;60850000.0;1430000000.0;12456034.54;360000.0;22556;14;1.59;800534;13940000.0
2022-05-19;99.61;109.40;94.00;104.57;55610000.0;1240000000.0;12459684.54;370000.0;27928;15;1.54;80416;16600000.000000002
2022-05-20;104.57;111.48;100.94;107.11;51470000.0;1300000000.0;12463243.92;390000.0;29809;15;1.52;805216;14700000.0
2022-05-21;107.01;107.73;101.28;104.35;28500000.0;1330000000.0;12466800.17;370000.0;28504;15;1.53;805246;6980000.0
2022-05-22;104.50;110.36;101.87;106.68;35650000.0;1300000000.0;12470406.42;390000.0;25557;15;1.53;804631;8289999.999999999
2022-05-23;106.61;112.15;97.33;99.19;57230000.0;1330000000.0;12473972.04;350000.0;68067;14;1.53;809261;18070000.0
2022-05-24;99.23;101.66;91.96;100.12;51630000.0;1240000000.0;12477556.42;360000.0;37895;15;1.54;800424;33090000.000000004
2022-05-25;99.62;102.25;94.68;95.52;25490000.0;1240000000.0;12481131.42;340000.0;29907;14;1.53;80237;17910000.0
2022-05-26;95.59;97.26;82.07;87.43;57850000.0;1190000000.0;12484706.42;310000.0;29546;14;1.54;803286;35670000.0
2022-05-27;87.33;89.26;82.28;85.95;34740000.0;1090000000.0;12488303.29;310000.0;28508;14;1.5;802658;51770000.0
2022-05-28;86.03;88.78;84.90;86.64;16670000.000000002;1070000000.0000001;12491865.79;310000.0;24926;14;1.5;800808;21000000.0
2022-05-29;86.65;92.32;84.24;92.31;18760000.0;1080000000.0;12495425.17;320000.0;23962;15;1.5;801219;13470000.0
