Date;Price (Open);Price (High);Price (Low);Price (Close);Real Volume;Circulating Marketcap;Circulating Supply;New Issuance;Active Addresses Count;Addresses with balance > $10M;Volatility;Addresses Count;Transaction Volume;Transactions Count;Price
2020-10-05;352.44;356.11;348.81;353.88;440000000.0;39390000000.0;111796097.96;4740000.0;406952;448;0.72;48025275;1900000000.0;1027690;353.15999999999997
2020-10-06;353.96;355.23;336.87;340.87;1220000000.0;38770000000.0;111809526.03;4570000.0;423241;442;0.7;48055660;1870000000.0;1083502;347.41499999999996
2020-10-07;340.81;342.86;333.05;341.84;560000000.0;37930000000.0;111822710.4;4500000.0;428105;443;0.71;48066466;2150000000.0;1035384;341.325
2020-10-08;341.8;353.45;334.36;351.09;582000000.0;38500000000.0;111835931.4;4630000.0;430143;449;0.7;48085675;1920000000.0;1019446;346.445
2020-10-09;351.19;368.56;347.25;365.35;1310000000.0;40110000000.0;111849272.28;4890000.0;463202;460;0.7;48107964;2260000000.0;1049571;358.27
2020-10-10;365.36;378.42;365.12;370.88;393000000.0;41800000000.0;111862794.09;5020000.0;472917;463;0.68;48144675;1610000000.0;1036351;368.12
2020-10-11;370.71;377.57;369.22;374.33;334000000.0;41770000000.0;111876463.65;5110000.0;567079;465;0.68;48201917;1740000000.0;1004701;372.52
2020-10-12;374.04;395.2;365.7;386.9;881000000.0;42620000000.0;111889969.78;5240000.0;496784;472;0.68;48245919;2210000000.0;1092162;380.47
2020-10-13;386.92;387.88;374.65;381.4;928000000.0;42750000000.0;111904709.34;5240000.0;507728;463;0.65;48270361;2100000000.0;1127396;384.15999999999997
2020-10-14;381.43;387.68;373.4;378.97;909000000.0;42540000000.0;111919319.09;5160000.0;499024;462;0.64;48296860;2790000000.0;1093927;380.20000000000005
2020-10-15;379.02;381.85;370.1;377.84;720000000.0;42160000000.0;111932960.84;5150000.0;622855;462;0.63;48295866;1910000000.0;1249576;378.42999999999995
2020-10-16;377.82;379.98;361.21;365.55;946000000.0;41330000000.0;111946453.09;4940000.0;649222;451;0.64;48301506;2300000000.0;1161135;371.685
2020-10-17;365.71;370.61;363.59;368.56;249000000.0;41140000000.0;111960041.21;5000000.0;654595;458;0.6;48354113;1420000000.0;1051772;367.135
2020-10-18;368.45;378.69;367.43;378.49;366000000.0;41840000000.0;111973423.65;5060000.0;622632;466;0.6;48406879;1130000000.0;995711;373.47
2020-10-19;378.52;384.46;372.92;379.36;474000000.0;42380000000.0;111987205.03;5230000.0;490775;463;0.6;48465803;1530000000.0;1128930;378.94
2020-10-20;379.56;380.74;365.35;368.89;692000000.0;41750000000.0;112000755.59;5000000.0;484476;456;0.6;48529902;1700000000.0;1105678;374.225
2020-10-21;368.88;402.47;368.14;391.48;1130000000.0;43290000000.0;112014288.28;5310000.0;499062;471;0.57;48599530;2610000000.0;1159354;380.18
2020-10-22;391.47;421.25;391.38;414.54;662000000.0;45730000000.0;112027907.15;5640000.0;519373;491;0.59;48675779;3470000000.0;1189043;403.005
2020-10-23;414.37;419.51;401.71;409.68;888000000.0;46170000000.0;112041364.84;5510000.0;518375;488;0.53;48762746;2720000000.0;1132837;412.025
2020-10-24;409.81;417.02;407.43;412.53;259000000.0;46240000000.0;112055050.37;5640000.0;603627;492;0.44;48807216;1450000000.0;1012156;411.16999999999996
2020-10-25;412.53;417.92;403.24;406.35;388000000.0;45920000000.0;112068500.62;5470000.0;586099;489;0.45;48863320;1120000000.0;965206;409.44
2020-10-26;406.23;411.42;382.61;393.2;576000000.0;44590000000.0;112081971.24;5310000.0;491011;478;0.48;48917711;3060000000.0;1086139;399.71500000000003
2020-10-27;393.06;410.26;390.31;403.59;420000000.0;44980000000.0;112095591.31;5500000.0;516481;486;0.48;48972904;1850000000.0;1078466;398.325
2020-10-28;403.59;409.37;380.74;388.71;816000000.0;43990000000.0;112109237.74;5310000.0;485592;472;0.5;49032549;2640000000.0;1139608;396.15
2020-10-29;388.62;394.05;380.73;387.52;344000000.0;43550000000.0;112122851.18;5270000.0;437339;466;0.49;49094558;2040000000.0;1107849;388.07
2020-10-30;387.4;392.12;373.68;382.85;430000000.0;42800000000.0;112136320.18;5170000.0;48785;465;0.49;49159863;2620000000.0;1111013;385.125
2020-10-31;382.93;394.36;380.62;386.78;715000000.0;43500000000.0;112149874.43;5240000.0;523774;468;0.48;49225268;1700000000.0;1089587;384.855
2020-11-01;386.08;397.97;384.9;396.27;389000000.0;43770000000.0;112163453.37;5370000.0;524955;471;0.48;49283639;1480000000.0;1050753;391.17499999999995
2020-11-02;396.39;404.5;378.27;383.46;512000000.0;43840000000.0;112176897.37;5160000.0;489991;468;0.5;49342140;2410000000.0;1156870;389.92499999999995
2020-11-03;383.33;390.28;370.09;388.15;1350000000.0;42680000000.0;112190452.06;5270000.0;507085;469;0.49;49405347;2610000000.0;1119359;385.74
2020-11-04;387.82;408.63;377.06;403.0;544000000.0;44090000000.0;112203974.87;5430000.0;625419;482;0.5;49401057;2770000000.0;1137324;395.40999999999997
2020-11-05;403.09;421.42;396.98;416.82;1170000000.0;45800000000.0;112217537.99;5660000.0;502128;490;0.51;49439437;3900000000.0;1128431;409.955
2020-11-06;417.41;458.65;415.11;456.33;1800000000.0;49120000000.0;112231151.99;6210000.0;573232;515;0.57;49494347;4290000000.0;1171971;436.87
2020-11-07;456.4;468.85;424.58;436.14;1890000000.0;50420000000.0;112244675.37;5910000.0;545032;499;0.6;49529289;3150000000.0;1131722;446.27
2020-11-08;435.94;460.26;433.31;454.75;489000000.0;50220000000.0;112258243.74;6180000.0;607371;515;0.61;49587512;1360000000.0;1016465;445.345
2020-11-09;454.69;459.7;433.93;444.65;1010000000.0;50310000000.0;112271755.87;6010000.0;545082;504;0.61;49635711;2930000000.0;1147695;449.66999999999996
2020-11-10;444.74;455.25;439.25;450.61;1180000000.0;50350000000.0;112285203.87;6070000.0;49118;506;0.61;49689978;2109999999.9999998;1157455;447.675
2020-11-11;450.83;476.56;449.85;463.82;1940000000.0;52160000000.0;112298757.93;6290000.0;646367;520;0.61;49742290;2350000000.0;1096582;457.325
2020-11-12;463.81;469.91;451.67;462.71;1240000000.0;51730000000.0;112312285.87;6260000.0;588103;523;0.61;49790913;2900000000.0;1099253;463.26
2020-11-13;462.88;477.66;457.49;476.39;1040000000.0;52540000000.0;112326864.93;6470000.0;523034;535;0.61;49837456;3040000000.0;1156377;469.635
