Date;Price (Open);Price (High);Price (Low);Price (Close);Real Volume;Circulating Marketcap;Circulating Supply;Active Addresses Count;Addresses with balance > $10M;Volatility;Addresses Count;Transaction Volume;Transactions Count;Price
2020-10-15;10.9;10.93;10.47;10.75;188000000.0;3750000000.0;349999999.88;5386;60;1.44;250112;70520000.0;7239;10.825
2020-10-16;10.75;10.9;10.26;10.6;192000000.0;3710000000.0;350000000.09;4611;60;1.4;250873;96700000.0;6539;10.675
2020-10-17;10.6;10.72;10.43;10.63;63550000.0;4110000000.0000005;388509555.84;3905;61;1.39;251332;39420000.0;5092;10.615
2020-10-18;10.63;10.99;10.6;10.95;115000000.0;4200000000.0;388509556.12;5579;61;1.4;251676;91530000.0;6459;10.79
2020-10-19;10.95;11.23;10.66;10.92;111000000.0;4230000000.0000005;388509555.86;46;61;1.36;252272;141000000.0;6262;10.934999999999999
2020-10-20;10.92;10.94;9.79;9.87;176000000.0;4030000000.0000005;388509556.06;5361;58;1.41;252612;88370000.0;779;10.395
2020-10-21;9.87;11.17;9.81;10.8;218000000.0;4139999999.9999995;388509556.19;5459;61;1.43;253403;109000000.0;8189;10.335
2020-10-22;10.81;12.44;10.73;11.97;178000000.0;4540000000.0;388509556.05;651;62;1.42;254217;146000000.0;1016;11.39
2020-10-23;11.97;12.27;11.58;12.17;305000000.0;4650000000.0;388509556.16;5865;63;1.42;25483;199000000.0;8667;12.07
2020-10-24;12.15;12.97;12.0;12.74;126000000.0;4890000000.0;388509555.99;5971;63;1.33;255816;104000000.0;8304;12.445
2020-10-25;12.71;12.86;11.92;12.17;181000000.0;4810000000.0;388509555.9;4852;63;0.95;256501;74760000.0;7148;12.440000000000001
2020-10-26;12.16;12.46;11.29;11.74;158000000.0;4610000000.0;388509556.15;5139;62;0.92;257348;107000000.0;7483;11.95
2020-10-27;11.73;12.48;11.49;11.94;130000000.0;4680000000.0;389509556.39;5483;63;0.91;258121;98540000.0;7936;11.835
2020-10-28;11.93;12.16;11.14;11.44;190000000.0;4520000000.0;389509556.41;5372;63;0.91;258787;131000000.0;7774;11.684999999999999
2020-10-29;11.45;11.81;11.06;11.29;133000000.0;4450000000.0;389509556.41;515;60;0.9;259625;104000000.0;7201;11.37
2020-10-30;11.28;11.49;10.74;11.09;118000000.0;4310000000.0;389509556.36;6293;61;0.9;259695;108000000.0;884;11.184999999999999
2020-10-31;11.1;11.39;10.91;11.22;166000000.0;4370000000.0;390509556.51;4629;61;0.89;260181;55430000.0;6091;11.16
2020-11-01;11.21;11.59;10.98;11.54;90570000.0;4390000000.0;390509556.61;4934;62;0.89;260665;55260000.0;5577;11.375
2020-11-02;11.57;11.69;10.72;10.79;115000000.0;4380000000.0;390509556.59;5125;60;0.91;261506;196000000.0;7074;11.18
2020-11-03;10.78;10.78;10.02;10.39;469000000.0;4059999999.9999995;390509556.31;5554;59;0.92;262282;192000000.0;8631;10.585
2020-11-04;10.39;10.68;9.76;10.48;139000000.0;4000000000.0;390509556.53;546;59;0.92;263039;175000000.0;8309;10.435
2020-11-05;10.49;11.28;10.08;10.99;240000000.0;4179999999.9999995;390509556.45;6079;59;0.93;263803;114000000.0;9324;10.74
